tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554152675775860738,712544236856590336,"Ramos,Messi Neymar scoring celebrating together Football interesting ",en,20220801T17 10 47 000Z,Twitter iPhone,,0,0,0
1554152657605906432,1155110978335281154,TotalBale11 retire 12 cant retire numbers laliga coz 25 man squad numbers 125 happened barca tried No10 messi left,en,20220801T17 10 42 000Z,Twitter iPhone,,0,1,0
1554152632142405633,1554070234532876288,Is Messi return Barcelona possible ,en,20220801T17 10 36 000Z,Twitter Web App,,0,1,0
1554152627679764480,1431207236911632384,messischwanzer RonakGangwani4 LEDCODM amitttrmfc Smokin' varca pack ,en,20220801T17 10 35 000Z,Twitter Web App,,0,2,0
1554152590820114433,701893235,Olatayo compare Messi God abeg o go help o ,en,20220801T17 10 27 000Z,Twitter iPhone,,0,2,0
1554152579583582209,255571175,TripodLeague agreed mate messi stands alone CR7 close like old sayin CR7 best player planets ever seen Messi another planet ,en,20220801T17 10 24 000Z,Twitter iPhone,791e00bcadc4615f,0,1,0
1554152547367149571,1548054938025988098,BarcaMessi Messi fanboys talking shit many times well great player's completely different mainly due body type truth Ronaldo played much harder league's overall media's still Honestly it's unfair ,en,20220801T17 10 16 000Z,Twitter Android,,0,0,0
1554152512524996608,1444245078109835267,ronniecris7 Nhi ji aap khud hate karte hain Messi ko jitne bhi Messi hate accounts hain sabko like karte ho you're hypocrite,en,20220801T17 10 08 000Z,Twitter Android,,0,0,0
1554152452840112128,1510861231007350784,"h0rm0natt0ressi FriendlyDIVER buddhaboy372 messi wins, futbol wins ",en,20220801T17 09 54 000Z,Twitter Android,,0,3,0
1554152421592821761,1513587098582138881,TimelineCR7 Lol man bullshit can’t compete messi playing ball yeah score goals close enough messi it’s comes playing ball football tap 10 goals score banger go 15 tap in’s pseudo goat ,en,20220801T17 09 46 000Z,Twitter Web App,,0,0,0
1554152404727349249,1389948569466011649,nocontextfooty Messi made sure girl frame ,en,20220801T17 09 42 000Z,Twitter Web App,,30,1013,4
